Prioridad,Destinatario,Rubro,Plantilla,Contacto,Procedencia,Qué pedir,Fecha envío,Estado,Monto comprometido,Constancia,Dueño del hilo,Próxima acción
1,Induveca (Grupo SID),Alimentos (embutidos),Empresa-rubro,servicioalcliente@induveca.com.do,web·verificar · PRIMERA carta enviada,"salami, jamón, salchichón, mortadela",,,,No,,
1,Grupo SID / MercaSID,Alimentos (aceite/harina),Empresa-rubro,compras@mercasid.com.do · 809-565-2151,web·verificar (dona producto),"aceite Crisol, harina",,,,No,,
1,César Iglesias S.A. (Lic. Luis Velázquez),Alimentos/limpieza,Empresa-rubro,SPM · [verificar],SOLICITADO 2023 y 2025 (repetida),"aceite, pasta, cloro, papel",,,,No,,
1,Almacenes Iberia (Sr. Alberto Rivera),Alimentos,Empresa-rubro,809-529-2799 (SPM),SOLICITADO 78 · especie probable [verificar],"lácteos, pan, víveres",,,,No,,
1,EGE Haina (Resp. Social),Corporativo/RSE,Empresa,[web·verificar],SOLICITADO 78 (vía RSE),aporte económico,,,,No,,
1,Almacenes Zaglul (Dr. Ramón Zaglul),Alimentos/varios,Empresa-rubro,[verificar],"SOLICITADO 78 · DONÓ RD$3,000 (2025)",víveres / aporte,,,,No,,
2,SEDESTE Group,Corporativo,Empresa,[verificar],"VERIFICADO 2025 (RD$10,000)",aporte económico,,,,No,,
2,Agys Ferreservis (Steven García),Ferretería,Empresa,[verificar],"VERIFICADO 2025 (RD$10,000)",aporte / ferretería,,,,No,,
2,Paulino Ingeniería,Corporativo,Empresa,[verificar],"VERIFICADO 2025 (RD$5,000)",aporte económico,,,,No,,
3,Pollo Cibao,Alimentos (pollo),Empresa-rubro,r.sociales@pollocibao.com,web·verificar (RSE),pollo,,,,No,,
4,Casa de Campo (La Romana),Premio de rifa,Empresa,809-523-8171,web·verificar,noche/estadía,,,,No,,
4,Emotions by Hodelpa (Juan Dolio),Premio de rifa,Empresa,reservas.emotions@hodelpa.com,web·verificar,noche/estadía,,,,No,,
5,Fundación Grupo Puntacana,Fundación,Empresa,fgpc@puntacana.com,web·verificar,proyecto / estadía,,,,No,,
5,Voluntariado Banreservas,Fundación,Empresa,809-960-2121,web·verificar,útiles / aporte,,,,No,,
6,Sociedad Bíblica Dominicana,Biblias,Empresa-rubro,809-685-2025,web·verificar,50 biblias,,,,No,,
6,Print Mate (SPM),Impresión,Empresa-rubro,IG @printmatesrl,SOLICITADO/usado 78,"talonarios, cancionero",,,,No,,
