Horizonte,Tarea,Dueño,Estado
Esta semana,Nombrar Tesorería (1–2 del equipo),Co-Dir,abierto
Esta semana,Contactar a Samuel Montilla (visiteo a la casa),Co-Dir,abierto
Esta semana,Gestionar exención RNC con el Padre Paul,Co-Dir,abierto
Esta semana,Reunión de coordinadores (jue 4-jun),Coords,programado
Esta semana,Abrir cuenta del retiro + plantilla de constancia,Co-Dir + Tesorería,abierto
Antes de F1 (14-jun),Definir responsables de los 5 auxiliares,Co-Dir,abierto
Antes de F1 (14-jun),Lema / hilo espiritual con Paul + Sor,Co-Dir,abierto
Antes de F1 (14-jun),Hoja Control de Pagos operando,Tesorería,abierto
Antes de F1 (14-jun),Asignar misionero a los 12 prospectos sin invitador,Recaudación,abierto
Antes de F1 (14-jun),Capacitar 1 asesor para run_all.sh (bus factor),Co-Dir + Tomás,abierto
Antes de F3 (5-jul),Fijar fecha límite de cotizaciones (transporte/biblias/peces),Co-Dir,abierto
Antes de F3 (5-jul),Política de earmark (qué entrada cubre qué),Co-Dir + Tesorería,abierto
Antes de F3 (5-jul),Cierre semanal de Tesorería (lunes),Tesorería,abierto
Datos,Formulario del equipo: faltan Pamela y Frank,Coords,abierto
Datos,Conteo final de participantes (hoy 52 estimado),Co-Dir,abierto
